period,budget,actual,variance,variance_pct,anomaly
M01 Jul,23961.0,23358.91,-602.09,-2.5,
M02 Aug,25449.0,26027.45,578.45,2.3,
M03 Sep,26990.25,27900.74,910.49,3.4,
M04 Oct,25219.5,24193.08,-1026.42,-4.1,
M05 Nov,24462.0,24926.84,464.84,1.9,
M06 Dec,22110.0,21817.96,-292.04,-1.3,
M07 Jan,27608.25,45003.09,17394.84,63.0,
M08 Feb,27276.3,42688.96,15412.66,56.5,
M09 Mar,28238.25,47721.36,19483.11,69.0,
M10 Apr,20104.68,20167.78,63.1,0.3,
M11 May,19184.52,20009.01,824.49,4.3,
M12 Jun,20672.52,21137.8,465.28,2.3,
Q1,76400.25,77287.1,886.85,1.2,
Q2,71791.5,70937.88,-853.62,-1.2,
Q3,83122.8,135413.41,52290.61,62.9,ALARM
Q4,59961.72,61314.59,1352.87,2.3,
