month,cal,provider,account,workflow_tag,tag_status,tier,requests,total_tokens,cost
1,Jul,gateway,gateway,wf1_triage,clean,bulk,306693,214685100,107.34
1,Jul,provider_a,provider_a,wf2_service_assist,clean,standard,82791,248373000,993.49
1,Jul,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,4364,89373200,1558.06
1,Jul,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,3764,602342400,12046.85
1,Jul,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,47620,190482600,761.93
1,Jul,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,6576,394561800,7891.24
2,Aug,gateway,gateway,wf1_triage,clean,bulk,298329,208830300,104.42
2,Aug,provider_a,provider_a,wf2_service_assist,clean,standard,75734,227202000,908.81
2,Aug,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,4701,99682521,1750.99
2,Aug,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,3989,638352000,12767.04
2,Aug,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,50372,201490080,805.96
2,Aug,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,8075,484511399,9690.23
3,Sep,gateway,gateway,wf1_triage,clean,bulk,318694,223085800,111.54
3,Sep,provider_a,provider_a,wf2_service_assist,clean,standard,79707,239121000,956.48
3,Sep,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,5315,107118200,1878.29
3,Sep,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,2581,413068800,8261.38
3,Sep,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,54818,219275400,877.1
3,Sep,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,13179,790797600,15815.95
4,Oct,gateway,gateway,wf1_triage,clean,bulk,327665,229365500,114.68
4,Oct,provider_a,provider_a,wf2_service_assist,clean,standard,88351,265053000,1060.21
4,Oct,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,5236,94056761,1611.28
4,Oct,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,2143,342984000,6859.68
4,Oct,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,56020,224081639,896.32
4,Oct,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,11375,682545600,13650.91
5,Nov,gateway,gateway,wf1_triage,clean,bulk,342625,239837500,119.92
5,Nov,provider_a,provider_a,wf2_service_assist,clean,standard,96141,288423000,1153.69
5,Nov,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,6047,98802761,1655.72
5,Nov,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,2177,348340800,6966.82
5,Nov,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,66496,265987439,1063.95
5,Nov,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,11638,698337000,13966.74
6,Dec,gateway,gateway,wf1_triage,clean,bulk,357434,250203800,125.1
6,Dec,provider_a,provider_a,wf2_service_assist,clean,standard,100713,302139000,1208.56
6,Dec,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,5809,87642522,1433.9
6,Dec,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,2427,388368000,7767.36
6,Dec,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,66210,264841679,1059.36
6,Dec,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,8519,511183799,10223.68
7,Jan,gateway,gateway,wf1_triage,clean,bulk,417425,292197500,146.1
7,Jan,provider_a,eng-shared,UNATTRIBUTED,untagged,standard,0,1000000000,4000.0
7,Jan,provider_a,provider_a,wf2_service_assist,clean,standard,107100,321300000,1285.2
7,Jan,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,14560,181759243,2770.03
7,Jan,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,3789,606360000,12127.2
7,Jan,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,179597,718391520,2873.57
7,Jan,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,10020,1090049844,21800.99
8,Feb,gateway,gateway,wf1_triage,clean,bulk,345229,241660300,120.83
8,Feb,provider_a,eng-shared,UNATTRIBUTED,untagged,standard,0,1000000000,4000.0
8,Feb,provider_a,provider_a,wf2_service_assist,clean,standard,71186,213558000,854.23
8,Feb,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,15311,177868477,2639.98
8,Feb,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,3733,597283200,11945.66
8,Feb,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,190441,761766720,3047.07
8,Feb,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,9230,1004059832,20081.19
9,Mar,gateway,gateway,wf1_triage,clean,bulk,313461,219422700,109.71
9,Mar,provider_a,eng-shared,UNATTRIBUTED,untagged,standard,0,1000000000,4000.0
9,Mar,provider_a,provider_a,wf2_service_assist,clean,standard,66958,200874000,803.5
9,Mar,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,17081,200752464,2996.57
9,Mar,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,2659,425568000,8511.36
9,Mar,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,211425,845701080,3382.8
9,Mar,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,12832,1395870788,27917.42
10,Apr,gateway,gateway,wf1_triage,clean,bulk,305325,213727500,106.86
10,Apr,provider_a,provider_a,wf2_service_assist,clean,standard,69878,209634000,838.54
10,Apr,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,6949,87107721,1345.57
10,Apr,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,2292,366792000,7335.84
10,Apr,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,82327,329309280,1317.23
10,Apr,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,7686,461186999,9223.74
11,May,gateway,gateway,wf1_triage,clean,bulk,287462,201223400,100.61
11,May,provider_a,provider_a,wf2_service_assist,clean,standard,64376,193128000,772.51
11,May,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,7609,89032440,1339.51
11,May,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,2467,394766400,7895.33
11,May,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,91575,366300960,1465.21
11,May,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,7029,421792200,8435.84
12,Jun,gateway,gateway,wf1_triage,clean,bulk,305717,214001900,107.0
12,Jun,provider_a,provider_a,wf2_service_assist,clean,standard,65962,197886000,791.54
12,Jun,provider_b,sharedB,UNATTRIBUTED_RESIDUAL,untagged,mixed,7570,92599921,1416.75
12,Jun,provider_b,sharedB,wf3_supplier_review,reconstructed,frontier,2562,409944000,8198.88
12,Jun,provider_b,sharedB,wf4_wholesale_copilot,reconstructed,standard,90353,361412880,1445.65
12,Jun,provider_b,sharedB,wf5_marketing_studio,reconstructed,frontier,7648,458899199,9177.98
