month,cal,quarter,workflow,wf_name,provider,tier,task_class,seats,requests,input_tokens,output_tokens,total_tokens,cost,kind
1,Jul,Q1,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,306693,161013825,53671275,214685100,107.34,workflow
2,Aug,Q1,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,298329,156622725,52207575,208830300,104.42,workflow
3,Sep,Q1,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,318694,167314350,55771450,223085800,111.54,workflow
4,Oct,Q2,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,327665,172024125,57341375,229365500,114.68,workflow
5,Nov,Q2,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,342625,179878125,59959375,239837500,119.92,workflow
6,Dec,Q2,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,357434,187652850,62550950,250203800,125.1,workflow
7,Jan,Q3,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,417425,219148125,73049375,292197500,146.1,workflow
8,Feb,Q3,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,345229,181245225,60415075,241660300,120.83,workflow
9,Mar,Q3,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,313461,164567025,54855675,219422700,109.71,workflow
10,Apr,Q4,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,305325,160295625,53431875,213727500,106.86,workflow
11,May,Q4,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,287462,150917550,50305850,201223400,100.61,workflow
12,Jun,Q4,wf1_triage,Inquiry and Returns Triage,gateway,bulk,simple_triage,40,305717,160501425,53500475,214001900,107.0,workflow
1,Jul,Q1,wf2_service_assist,Customer Service Assist,provider_a,standard,structured_qa,60,82791,149023800,99349200,248373000,993.49,workflow
2,Aug,Q1,wf2_service_assist,Customer Service Assist,provider_a,standard,structured_qa,60,75734,136321200,90880800,227202000,908.81,workflow
3,Sep,Q1,wf2_service_assist,Customer Service Assist,provider_a,standard,structured_qa,60,79707,143472600,95648400,239121000,956.48,workflow
4,Oct,Q2,wf2_service_assist,Customer Service Assist,provider_a,standard,structured_qa,60,88351,159031800,106021200,265053000,1060.21,workflow
5,Nov,Q2,wf2_service_assist,Customer Service Assist,provider_a,standard,structured_qa,60,96141,173053800,115369200,288423000,1153.69,workflow
6,Dec,Q2,wf2_service_assist,Customer Service Assist,provider_a,standard,structured_qa,60,100713,181283400,120855600,302139000,1208.56,workflow
